Palabra	(Archivo, Cantidad)
1001	(1,1) 
1002	(5,1) 
1004	(1,1) 
10059856	(1,1) 
100–150	(7,1) 
100–150000	(7,1) 
101	(7,1) (9,1) (1,1) (2,1) 
101%	(1,1) 
1014	(2,1) 
1019–1054	(7,1) 
101in	(1,1) 
101–6	(2,1) 
101–95	(2,1) 
102	(2,1) (0,1) 
102%	(2,1) (1,1) 
102-seat	(1,1) 
102000	(7,1) 
1022	(2,1) 
1025%	(0,1) 
1026%	(2,1) 
10271	(1,1) 
102nd	(2,1) 
103	(2,2) 
103%	(0,1) 
1031	(2,1) 
1033	(2,3) 
1038	(0,1) 
10384	(2,1) 
103°27′75″e	(2,1) 
104	(2,2) (1,1) (4,1) (3,1) 
104%	(1,1) 
104000	(2,1) 
104556	(2,1) 
10467366	(2,2) 
10474	(1,1) 
10480	(1,1) 
10482487	(2,1) 
104th	(1,1) 
105	(5,1) (2,2) (4,1) 
105%	(0,1) (3,1) (1,1) 
1050	(2,1) 
10500	(2,1) 
105000	(9,1) 
106	(1,2) (2,4) 
106%	(2,2) (1,1) (3,1) 
10600	(5,1) 
1063	(2,1) 
10643	(1,1) 
10645	(1,1) 
1068758	(3,1) 
106889	(1,1) 
107	(1,2) (2,2) 
107%	(2,1) 
10700	(2,1) 
10700000	(2,1) 
107196	(2,1) 
10733	(2,1) 
1073500	(0,1) 
1073518	(0,1) 
107722/jctt81pgm	(2,1) 
1079–1268	(8,1) 
108	(3,1) (5,1) 
108%	(1,1) (3,1) (0,1) 
1082000	(1,1) 
1083	(1,1) 
1085	(9,1) 
1086	(2,2) (1,1) 
1088	(1,1) 
108th	(1,1) 
109	(1,2) (6,1) 
109-seat	(2,1) 
109106	(2,1) 
1092919	(2,1) 
1093	(2,1) 
1094	(3,1) 
109487	(1,1) 
1098581	(1,2) 
109884	(2,2) 
109th	(2,1) (5,1) 
10th	(5,1) (2,11) (1,2) (7,3) (9,2) (8,5) (0,1) 
10th-most-populous	(1,1) 
10–12	(2,3) 
10–12%	(1,1) 
10–15%	(2,1) 
10–35000	(2,1) 
11	(2,16) (9,1) (1,14) (5,2) (7,2) (6,3) (4,4) 
11%	(1,6) (2,6) (5,1) (3,1) (0,1) 
11%the	(1,1) 
11/km2	(0,1) 
11/sq	(4,1) 
110	(4,1) (1,1) (6,1) (2,2) 
110%	(1,1) 
1100	(7,1) (1,2) 
11000	(0,1) (1,1) (2,2) (3,1) 
110000	(0,1) (1,3) (2,3) 
11007	(1,1) 
110860	(2,1) 
11089000	(2,1) 
110th	(1,1) 
111	(1,2) (6,1) 
111%	(1,1) 
111000	(1,1) 
111133	(2,1) 
112	(2,1) 
112%	(1,4) (2,1) 
11234	(2,1) 
11241161	(2,1) 
11257	(2,1) 
1127	(2,1) 
1128	(2,1) 
112°	(1,1) 
113	(0,1) (3,1) 
113%	(0,1) 
1130%	(1,1) 
1133452	(1,1) 
113522	(1,1) 
11355	(1,1) 
11356%	(1,1) 
1136	(1,1) 
1139	(2,1) 
114	(2,2) (4,1) 
114%	(9,1) (1,1) 
1140	(2,1) (1,1) 
11411-foot	(9,1) 
1141748	(1,1) 
114240afro-cubans	(2,1) 
1143	(2,1) 
1143portugal	(2,1) 
114500	(2,1) 
11457	(1,1) 
1147	(2,1) 
114778	(1,1) 
1148%	(3,1) 
115	(1,1) 
115%	(6,1) 
1150	(0,1) 
115000	(1,1) 
1150000	(2,1) 
115691	(2,1) 
1157065	(4,1) 
116	(2,2) (1,1) (7,1) 
116%	(1,2) 
116%italy	(1,1) 
1160	(2,1) 
1161	(2,1) 
116306	(1,1) 
116350	(1,1) 
11675179	(2,1) 
116802	(1,1) 
11681	(1,1) 
1169	(7,1) 
117	(1,1) 
117%	(3,1) 
1170	(1,1) 
11727	(1,1) 
1173	(2,1) 
1176	(1,1) 
1179	(2,1) 
1179415	(1,1) 
118	(1,2) (2,1) 
118%	(1,1) 
11800	(2,1) 
1185	(2,1) 
11850	(2,1) 
118766	(1,1) 
1188	(9,1) 
118th	(2,3) 
119	(1,2) 
11907	(1,1) 
11945	(2,1) 
119°w	(1,1) 
11th	(1,8) (2,15) (9,1) (3,1) (7,2) (0,1) 
11th-largest	(1,1) 
11–20	(7,1) 
12	(7,3) (1,16) (2,28) (9,3) (5,2) (6,5) 
12%	(9,2) (1,7) (7,1) (2,5) (0,2) (5,2) (6,1) 
12-string	(2,1) 
12-year	(1,2) 
120	(1,6) (2,8) (0,1) 
120%	(2,2) 
120-member	(2,1) 
1200	(2,7) (4,1) (1,3) (3,1) 
12000	(2,2) (1,3) (5,1) 
120000	(2,3) (1,4) 
1200000	(9,1) (4,1) 
1204	(2,2) 
1205	(2,2) 
1205284	(1,1) 
1206	(2,1) 
120660	(2,1) 
121	(0,1) (4,4) 
121000	(0,1) 
1210193422	(2,1) 
12105524	(6,1) 
1212	(6,1) 
1214	(9,1) 
1216	(1,1) 
1218	(7,1) 
121900	(9,1) 
12198	(9,1) 
122	(2,1) (1,2) (5,1) 
122%	(3,1) (2,2) 
1221	(2,1) 
1229	(9,1) 
122nd	(1,1) 
123	(3,1) 
12345	(2,1) 
1235	(1,1) 
1236	(1,1) (9,1) 
1237–1240	(7,1) 
1238	(9,1) 
1239%	(6,1) 
124	(2,6) (7,1) (3,1) 
124%	(3,1) (2,1) 
1240	(7,1) 
12429	(1,1) 
1242kievan	(7,1) 
12443	(1,1) 
1246	(9,1) (1,1) 
1248	(9,1) 
1249	(2,2) 
124th	(1,1) 
125	(2,2) 
125%	(3,1) (2,1) 
1250	(2,1) (1,2) 
12500	(2,1) (1,2) (7,1) 
12500-strong	(6,1) 
125000	(2,2) 
1250000	(6,2) 
125000–80000	(2,1) 
1253	(2,1) 
12530	(2,1) 
125306	(2,1) 
1253900	(2,1) 
125th	(3,1) 
126	(1,1) (2,1) 
126%	(2,1) (1,1) 
1260	(2,1) 
1261	(2,1) 
1261–1325	(2,1) 
1261–1453	(2,1) 
12622	(2,1) 
1265267	(7,1) 
12666	(2,1) 
1268	(1,1) 
127	(2,1) (1,1) (4,1) 
127%	(1,2) (2,3) 
12700000	(1,1) 
127001	(1,1) 
1271	(2,1) 
1277	(2,1) 
1277%	(1,1) 
1278	(2,1) 
1279	(2,1) 
128	(1,1) 
1285216	(2,2) 
129	(1,1) (2,1) 
129%	(2,2) (1,1) 
1290	(2,1) 
12900	(1,1) 
1291	(2,1) 
129150971	(1,1) 
1297	(2,2) 
129–137	(1,1) 
12th	(0,1) (4,1) (2,10) (9,1) (7,1) (1,3) (8,1) 
12°	(5,1) 
12°n	(1,1) 
12–14	(1,1) 
13	(1,21) (2,19) (3,2) (4,2) (0,5) (6,3) (7,1) (5,1) 
13%	(6,1) (3,1) (2,5) (1,7) (7,1) (5,1) 
130	(1,2) (2,3) (3,2) 
1300	(1,3) (2,4) 
13000	(2,1) (1,2) (5,1) 
130000	(2,1) (1,1) 
1300in	(1,1) 
1305	(2,1) (1,1) 
1309	(2,1) 
130th	(9,1) 
131	(1,1) (2,1) 
131%	(1,1) (7,1) 
13123	(1,1) 
1315	(0,1) 
1318%	(1,1) 
132%	(1,1) 
1320	(2,1) 
132000	(2,1) 
1322	(1,1) 
13228	(6,1) 
1325	(7,1) 
1327	(2,1) 
132–136	(2,1) 
133	(9,2) 
133000000	(2,1) 
1332	(2,1) 
13336	(2,1) 
1334	(5,1) 
133595	(3,1) 
134	(2,1) 
1348	(2,1) (1,1) 
1349	(2,1) 
134th	(2,1) 
134–163	(2,1) 
135	(1,2) (5,1) 
135%	(1,2) 
1350	(2,1) 
13500	(9,1) 
135420	(2,1) 
135th	(2,1) 
135°	(2,1) 
136	(2,3) (1,1) 
136%	(3,1) (1,2) (6,2) (2,1) 
1360	(1,1) 
1364	(2,1) 
13676	(2,1) 
1367–1383	(2,1) 
1368	(2,1) 
136th	(1,1) (7,1) 
137	(2,1) (9,1) (1,2) 
137%	(2,2) 
1371	(1,1) 
1372%	(0,1) 
1373	(2,2) 
13743	(2,1) 
1375	(7,1) (5,1) 
1378	(2,1) 
138	(2,3) (4,1) (1,1) 
138%	(2,3) 
1380	(7,1) 
1383	(2,1) 
13850	(1,1) 
1387	(7,1) 
1387%	(3,1) 
138th	(1,1) 
139	(2,2) 
139%	(2,2) 
1394000	(1,1) 
139703	(2,1) 
139th	(2,1) 
13th	(2,6) (9,3) (8,1) (1,5) 
13th-century	(2,1) 
13th-largest	(1,1) 
13°	(1,1) 
14	(1,17) (2,24) (3,1) (0,2) (5,4) (9,4) (7,1) (4,1) (6,2) 
14%	(6,2) (1,13) (2,4) (3,2) (0,2) 
14-metre	(1,1) 
140	(6,1) (2,3) (1,1) 
1400	(2,3) (1,1) (3,1) (0,1) 
14000	(1,2) (5,1) (4,1) 
140000	(1,1) (2,1) 
1400000	(2,2) 
1400s	(1,1) 
1401	(2,1) 
14015	(6,1) 
1404–1472	(1,1) 
1405164	(2,1) 
14095307	(1,1) 
140th	(2,1) 
141	(1,2) (2,1) 
141%	(2,3) 
1411778724	(2,1) 
141304	(2,1) 
1414	(1,1) 
1415	(2,2) 
1415–1417	(1,1) 
1417	(5,1) 
142	(2,2) (1,2) (7,1) (6,1) 
1420	(1,1) 
142199	(1,1) 
1422	(2,2) 
1423	(0,1) 
1423%	(2,1) 
14268224	(1,2) 
142700	(2,1) 
1428	(7,1) 
142815	(1,1) 
142nd	(1,1) 
143	(2,1) 
143%	(2,1) 
1430	(2,1) 
143000	(2,1) 
143769	(0,1) 
1438	(2,2) (1,1) 
1439	(1,1) 
144	(1,1) (7,1) 
144%	(3,1) (2,1) 
1440	(2,1) 
144000	(1,1) 
1442	(1,1) 
1445	(1,1) 
1447	(7,1) 
145	(2,6) 
1450	(2,1) 
14500	(2,2) 
145000	(2,1) 
1452	(1,1) 
1452–1519	(1,1) 
1453	(1,1) (2,4) (7,1) 
145495386	(1,1) 
1459	(1,1) 
146	(2,3) 
146%	(1,2) 
1460	(2,1) 
1463	(1,1) 
1465–c	(2,1) 
1469	(9,1) 
146th	(7,1) 
147	(4,1) 
147500	(2,1) 
1475–1564	(1,1) 
14760	(2,1) 
14763	(1,1) 
1479	(9,1) 
147th	(1,1) 
148	(1,1) (2,1) 
1480	(0,1) 
1481	(2,1) 
1481/1-10-1984	(2,1) 
1482000	(1,1) 
14834	(1,1) 
1489426	(1,1) 
148×109	(2,1) 
149	(2,1) 
149%	(2,1) (3,1) 
1491	(1,1) 
1492	(9,5) (2,2) 
1492–1898	(2,1) 
1493	(1,2) 
1494	(3,1) (2,1) 
1497	(1,1) (4,1) (2,1) 
1498	(2,1) (5,2) 
1499	(5,1) (1,3) 
14995	(2,1) 
14th	(2,11) (7,2) (0,1) (1,6) (4,2) (3,1) (9,3) 
14th-century	(2,1) 
14°	(1,1) 
14°n	(2,1) 
14–0	(2,1) 
14–16	(2,1) 
15	(2,42) (1,39) (7,5) (5,3) (0,7) (6,8) (3,3) (4,4) (9,1) 
15%	(1,2) (6,2) (5,1) (2,10) (7,1) (9,1) 
15-	(2,1) 
15-child	(2,1) 
15-fold	(0,1) 
15-year-olds	(9,1) (4,1) 
150	(4,1) (2,5) (6,1) (5,1) (1,1) (0,1) (3,2) 
150%	(1,1) 
1500	(1,8) (4,1) (2,14) (7,2) (3,5) 
15000	(1,3) (5,1) (7,1) (0,1) 
150000	(1,3) (2,4) 
1500s	(1,2) 
1501	(1,1) 
15016	(1,1) 
1501–1576	(1,1) 
1502	(2,1) (0,1) (9,1) (1,1) 
1503–1513	(1,1) 
1505%	(1,1) 
1508	(1,1) 
151	(5,1) (1,1) 
151%	(2,3) 
1510	(1,1) 
151019	(4,1) 
1511	(2,1) 
1512	(1,1) 
1513–1521	(1,1) 
1514	(1,1) (2,1) 
1515	(2,1) (1,1) 
1516	(2,2) (0,1) 
1516–1556	(9,1) 
1517	(3,1) (2,1) 
1518	(2,1) (1,1) 
1519	(1,2) (2,2) 
1519–1821	(1,2) 
152	(2,2) 
152%	(1,1) (7,1) 
1520	(6,1) (1,1) 
152000	(1,1) 
1520s	(2,1) 
1521	(1,7) (2,3) 
1521–1821	(1,1) 
1521–1898	(1,1) 
1522	(2,3) (1,2) (5,2) 
1523%	(9,1) 
1523–1534	(1,1) 
1524	(1,7) 
1524following	(1,1) 
1524–1580	(2,1) 
1525	(2,1) (1,3) 
1525–1821	(1,1) 
1526	(1,1) (2,1) (0,1) 
1527	(9,1) (1,2) 
1528	(5,2) (1,1) 
1529	(5,1) (2,3) 
153	(6,1) 
153%	(2,1) 
1530	(1,1) 
153000	(0,1) 
1530909	(1,1) 
1530–1568	(5,1) 
1532	(1,1) (2,1) (3,1) 
1533	(5,1) (1,2) (2,1) 
1534	(3,1) (4,1) 
1534–1549	(1,1) 
1535	(4,1) (1,1) (6,1) 
1535–36	(6,1) 
1536	(0,1) (2,1) (1,3) 
1536in	(0,1) 
1537	(1,2) (2,1) 
1538	(1,2) 
1539	(2,1) (1,1) 
154	(1,1) 
154%	(0,1) 
1540	(5,1) (6,1) 
1541	(6,1) (1,2) 
1541further	(0,1) 
1542	(1,1) 
15420	(1,1) 
1543	(1,1) 
1545	(1,1) (4,1) 
1545–1563	(1,1) 
1546	(5,2) (1,1) 
1547	(7,1) (1,1) 
1548	(2,1) 
1549	(2,1) (1,1) (3,1) 
154°	(1,1) 
155	(2,1) 
155%	(1,1) 
155-member	(6,1) 
1550	(7,1) (0,1) (2,1) (1,1) 
155000	(1,1) 
1550–1200	(2,1) 
1550–1555	(1,1) 
1551	(1,1) (2,2) 
1553	(6,1) (0,1) 
1553–1613	(2,1) 
1555	(2,1) 
1556–1598	(9,1) 
1558	(0,1) 
15584	(7,1) 
1559	(1,1) 
155th	(7,1) 
156	(5,1) (4,1) (2,1) 
156000	(2,1) 
1560s	(1,1) (3,1) 
1561	(0,1) (2,1) 
1562	(0,1) 
1563	(1,2) 
1564	(1,1) 
1564–1642	(1,1) 
1565	(1,2) (0,1) 
1567	(5,1) (1,1) 
1568	(1,1) 
1568–1571	(9,1) 
156th	(2,1) 
157	(2,1) 
1570	(1,1) (2,1) 
1570s	(2,1) 
1571	(9,1) (1,2) (2,3) 
1572	(2,1) (7,1) 
1573	(0,1) (5,1) 
1576–1606	(1,1) 
1578	(6,1) 
15780	(1,1) 
158	(3,1) 
158%	(1,1) (2,1) 
1580	(2,4) (0,1) 
1582	(2,1) (9,1) 
1583	(4,1) 
1585–1604	(9,1) 
1588	(9,1) 
15886955	(2,1) 
159	(2,2) 
159%	(2,1) 
1592–1598	(2,1) 
1593	(1,1) 
1595	(2,1) 
1596	(2,1) 
1596the	(0,1) 
1598	(7,1) (6,1) 
15bn	(2,1) 
15th	(2,22) (6,1) (1,10) (7,1) (9,3) (4,2) (5,2) 
15th-century	(7,1) 
15th-largest	(1,1) 
15°e	(2,1) 
15°n	(1,1) 
15–17	(1,1) 
15–20	(3,1) 
15–24	(1,1) (2,1) 
15–49	(2,1) 
16	(1,19) (2,16) (6,2) (3,2) (7,1) (5,1) (4,1) 
16%	(2,7) (1,2) (9,1) 
16-	(2,1) 
16-millimeter	(2,1) 
16-year	(6,1) 
16-year-olds	(2,1) 
160	(2,4) (6,1) (5,1) 
1600	(1,4) (2,4) (7,1) (4,1) 
16000	(1,3) (7,1) 
160000	(1,1) (2,1) 
1600s	(0,1) (1,2) 
1600–1100	(2,1) 
1600–1601	(2,1) 
1601–1603	(7,1) 
1602	(0,1) 
1603	(1,1) (4,1) 
160323	(1,1) 
1604	(1,2) 
1605	(4,1) 
1606	(1,3) 
1607	(2,1) 
1608	(4,1) 
1609	(1,2) 
161	(2,2) (0,1) 
1610	(4,1) 
161000	(2,1) 
1610s	(3,1) 
1611–1681	(2,1) 
1612	(7,2) 
1613	(7,1) 
1616–1620	(1,1) 
1618–1648	(1,1) 
1618–1683	(2,1) 
162	(0,1) (2,1) 
162%	(2,1) (1,1) 
1620	(2,1) 
162244203	(1,1) 
1624	(1,2) 
16242	(1,1) 
1625–1712	(1,1) 
162604	(2,1) 
16265	(1,1) 
1629	(1,1) 
163	(2,1) 
1630%	(5,1) 
1631	(2,1) 
16335	(5,1) 
1634	(1,1) 
1637	(2,1) 
164	(5,2) (2,1) 
164%	(9,1) (3,1) 
1640	(1,1) (2,4) 
164000	(1,1) 
16404	(1,1) 
1641	(5,1) 
1644	(1,1) (2,2) 
1648	(7,1) (2,1) 
165	(1,1) (5,1) 
16500–13000	(1,1) 
16529	(1,1) 
1654	(7,1) 
1654–1660	(9,1) 
1655	(2,1) (6,1) 
166	(5,1) (2,1) 
166%	(2,1) 
166-seat	(1,1) 
1660	(2,1) 
166000	(2,1) 
1660s	(9,1) 
1663	(4,1) (1,1) (2,1) 
1669–71	(1,1) 
166–177	(1,1) 
167	(2,3) (1,1) (7,1) 
167%	(1,1) 
167/sq	(0,1) 
1670	(2,2) 
1671	(2,1) 
1675	(2,1) 
16795	(1,1) 
168	(2,2) (3,1) (1,1) 
168%	(1,1) 
1680	(1,2) 
1680safter	(7,1) 
1680th	(2,1) 
1682	(7,1) 
1683	(6,1) (1,1) 
1684–1699	(2,1) 
1686	(1,1) 
1689	(4,1) 
168th	(2,1) 
169	(2,1) (5,1) (6,2) 
169%	(2,1) 
1690	(2,1) 
1690s	(3,1) 
1692	(1,1) 
1697	(2,1) 
1699435	(2,1) 
169°	(7,1) 
169–195	(2,1) 
16th	(2,20) (0,2) (1,27) (4,4) (3,5) (7,2) (6,1) (5,4) (9,6) 
16th-	(1,1) 
16th-century	(3,1) (9,1) (7,1) (2,1) 
16°n	(5,1) 
16–17	(1,1) 
16–18	(1,1) (4,1) (2,1) 
17	(2,13) (4,2) (5,1) (0,1) (1,22) (3,1) (6,3) (7,2) (9,2) 
17%	(1,4) (5,3) (2,7) (9,1) (6,1) 
17%between	(1,1) 
17-month	(1,1) 
170	(1,2) (9,1) 
170%	(2,2) 
170-member	(7,1) 
1700	(1,1) (5,1) (2,1) 
17000	(1,2) (2,1) 
170000	(1,1) (5,1) 
1700s	(1,1) 
1700–1721	(7,1) 
1700–1830	(2,1) 
1703	(7,1) 
1707	(1,1) 
171	(2,1) (3,1) 
171%	(9,1) 
1710	(1,1) 
1710–1773	(2,1) 
1712	(1,1) 
1713	(4,1) 
1715	(2,1) 
1716	(2,2) 
1717	(1,1) (9,1) 
171915	(1,1) 
1719another	(2,1) 
171st	(2,1) 
172	(2,9) (9,1) (1,8) (6,1) (0,1) (7,2) (5,1) 
172%	(2,1) 
172000	(4,1) 
1720000	(3,1) 
1721	(5,1) (7,1) 
1725	(7,1) (1,1) 
17263	(1,1) 
1727	(1,1) 
1727408	(2,1) 
1728	(2,1) (5,1) 
1732	(2,1) 
1734	(2,1) 
17343	(1,1) 
1736–1813	(1,1) 
1737	(1,1) 
17378	(1,1) 
1738	(2,1) (1,1) 
1739	(1,3) 
174	(2,1) 
174%	(1,2) (2,1) 
1740	(1,1) (0,1) (6,1) 
174000	(0,1) 
1741–1762	(7,1) 
1742	(2,1) 
17426	(2,1) 
1747	(1,1) 
1749	(2,1) 
175	(6,2) (1,4) 
175%	(2,1) 
1752	(1,1) 
1754	(2,1) 
1755	(2,3) 
175589	(2,1) 
1756	(1,1) 
1756–1763	(7,1) 
1757	(7,1) 
17574003	(6,1) 
1758	(2,2) 
1759	(2,1) 
175–186	(7,1) 
176	(2,1) (1,1) 
176%	(2,1) (1,1) 
1760	(2,2) 
17608483	(1,1) 
1762	(2,2) (1,2) 
176214	(1,1) 
1762–1796	(7,1) 
1763	(2,2) (1,2) (4,4) 
1764	(1,2) 
1764%	(2,1) 
1765	(2,1) (1,1) 
176500	(2,1) 
1765–1805	(2,1) 
1766	(2,1) 
1769	(4,1) 
177	(2,1) (0,1) 
177%	(1,1) (2,1) 
1770	(2,2) (1,2) 
1770s	(4,1) 
1770–1846	(1,1) 
1771	(1,1) 
1773	(1,1) 
1773–1774	(1,1) 
1774	(4,1) 
1775	(5,1) 
1776	(0,2) (1,2) 
1776spains	(5,1) 
1777	(5,1) (1,1) (6,1) (2,1) 
1778	(1,2) (6,1) 
1779	(2,1) 
17797737	(1,1) 
1779–81	(2,1) 
178	(1,2) (5,2) 
1780	(2,1) 
17801	(2,1) 
17804	(9,1) 
1780–1862	(1,1) 
1781	(1,1) 
1782	(2,1) 
1783	(2,1) (1,2) (4,1) 
1783–1868	(2,1) 
1784	(6,1) 
1785	(5,1) 
1786	(1,1) 
1788	(2,1) (1,3) 
1789	(1,2) 
1789–1799	(1,1) 
178m	(2,1) 
179	(2,1) 
179%	(2,2) (1,1) 
1790	(2,2) 
1790s	(2,1) 
1791	(4,2) 
1792	(2,1) 
17920	(1,1) 
1793	(9,1) 
1795	(9,1) (2,1) 
1795%	(2,1) 
1796	(1,1) 
1797	(1,2) (2,1) 
1798	(2,1) 
1799	(2,1) 
17according	(2,1) 
17th	(2,14) (1,21) (0,1) (9,4) (7,3) (3,1) (5,1) 
17th-century	(9,1) (1,1) (2,1) (7,1) (6,1) 
17th-largest	(2,1) 
17°	(6,1) 
17–18	(7,1) 
18	(9,1) (2,30) (4,4) (1,18) (5,2) (0,1) (6,3) (3,5) 
18%	(2,9) (1,4) (3,2) (0,1) 
18%spanish	(2,1) 
18%–19%	(1,1) 
18-year-olds	(2,1) 
180	(1,6) (2,3) (7,2) (9,1) (0,1) 
180%	(0,1) 
1800	(1,2) (2,3) (9,1) 
18000	(5,1) (1,5) (2,1) (9,1) 
180000	(0,1) (2,1) (6,1) (1,1) 
18000–8000	(1,1) 
1800by	(3,1) 
1800s	(1,2) 
1801	(2,1) (1,1) 
1801–1802after	(1,1) 
1801–1825	(7,1) 
1802	(1,2) 
1803	(1,1) 
1803–1806	(7,1) 
1804	(1,1) 
1806	(1,3) (0,1) 
1807	(0,1) (3,1) (1,2) (2,5) (9,1) 
1808	(0,1) (1,2) (9,1) (6,1) (3,4) (2,1) 
1808–1855	(1,1) 
1809	(7,1) (1,4) (2,1) (9,1) (3,1) 
181	(2,1) 
181%	(2,3) 
1810	(1,4) (0,2) (5,1) (6,1) (9,1) 
18100	(1,1) 
181034	(1,1) 
1810–1818	(0,1) 
1810–1821	(2,1) 
1811	(1,8) (2,2) (5,2) 
1812	(2,2) (4,2) (9,2) (7,2) (5,1) (6,1) 
1813	(1,3) (5,2) 
1814	(1,3) (2,1) (9,1) (3,1) (5,1) 
1815	(1,4) (2,5) (4,2) (3,2) 
181532	(3,1) 
1816	(3,1) (1,1) (0,2) 
1817	(2,1) (1,3) (5,1) (6,1) 
1818	(2,1) (6,2) 
1819	(0,2) (1,4) (5,1) 
181m	(2,1) 
182	(4,1) (2,1) 
1820	(0,1) (2,4) (3,1) (7,1) (1,2) 
1820s	(1,1) (2,3) 
1820–1992	(0,1) 
1821	(2,12) (6,1) (1,14) (5,1) (3,1) 
1821–1823	(1,1) 
1821–1830	(2,1) 
1821–1832	(2,1) 
1821–1847	(1,1) 
1822	(1,4) (2,3) (3,2) 
1822–1823	(1,1) 
1823	(1,6) (2,1) (5,2) 
1824	(1,6) (2,3) (3,2) 
1825	(1,6) (2,5) (4,1) (7,1) 
1825on	(3,1) 
1825–1855	(7,1) 
1825—fell	(2,1) 
1826	(2,2) (0,2) (9,1) (6,1) (1,1) 
1827	(2,2) (1,1) 
1828	(2,3) (1,3) (4,1) 
1829	(1,8) (2,2) 
183	(2,1) 
183%	(2,1) 
1830	(1,11) (5,4) (2,2) 
1830s	(6,1) (9,1) (1,1) (7,1) 
1830–1856	(5,1) 
1831	(2,1) (1,2) (0,1) (3,1) 
1832	(3,1) (1,4) 
1833	(9,1) 
1834	(2,3) 
1835	(9,1) (1,1) 
183500	(2,1) 
1835–1910	(1,1) 
1836	(1,4) 
1836–1839	(0,1) 
1836–39	(6,1) 
1837	(6,1) (1,6) (4,1) 
1838	(1,4) (2,2) 
18380	(2,1) 
183800	(2,1) 
1838–1839	(1,1) 
1838–1840	(0,1) 
1839	(1,5) 
184	(0,1) (4,1) (2,1) 
1840	(4,1) (2,1) (1,4) 
1840s	(3,1) (2,2) (9,1) 
1841	(1,6) 
1841during	(3,1) 
1841upon	(4,1) 
1842	(1,3) (2,2) 
1842–1891	(2,1) 
1843	(2,1) (6,1) (1,3) 
1844	(1,2) 
1845	(1,2) 
1845–1850	(0,1) 
1846	(1,1) (4,1) (2,1) 
1847	(2,1) (1,3) 
1847–1851	(1,1) 
1848	(1,11) (2,2) (6,1) 
1849	(1,5) (2,1) (4,1) 
1849when	(1,1) 
184m	(2,1) 
185	(1,1) (2,2) (3,1) 
185%	(2,1) 
1850	(1,2) (9,1) (3,1) (4,1) 
18500	(6,1) (2,1) 
1850s	(1,3) (2,2) 
1851	(1,8) (6,1) (2,1) 
18510	(7,1) 
1851internal	(1,1) 
1851–1865	(1,1) 
1852	(1,1) (0,1) (2,1) 
1853	(0,2) (1,1) 
1853–1856	(2,1) 
1853–1861	(2,1) 
1854	(1,4) (5,1) (2,1) 
1855	(1,3) (4,1) 
1855–1881	(7,1) 
